Date,Actual_HHS_Load,RF_Forecast,GB_Forecast,SARIMA_Forecast
2025-07-13,2204.0,2266.685017857142,2252.377509453109,2729.1691821062027
2025-07-14,2181.0,2174.704083333333,2177.986515178974,2715.006736148622
2025-07-15,2171.0,2169.604083333333,2177.3269777314927,2729.515508756996
2025-07-16,2164.0,2152.430035714286,2165.671078428291,2733.6251092501407
2025-07-17,2153.0,2147.1146190476193,2165.9888733187827,2747.3357735050263
2025-07-21,2121.0,2145.185833333333,2166.3306158757723,2782.109487086326
2025-07-22,2117.0,2118.412166666667,2136.254784002606,2767.206625832878
2025-07-23,2111.0,2117.512583333333,2136.9169863612688,2793.582890830395
2025-07-24,2096.0,2120.0247500000005,2137.0003489823685,2779.4175020576104
2025-07-27,2088.0,2119.57225,2135.8790361010415,2793.8740725882108
2025-07-28,2080.0,2118.5913333333333,2138.4897524769863,2797.973895441363
2025-07-29,2072.0,2122.4828333333335,2140.0157819063434,2811.6635127240074
2025-07-30,2063.0,2131.452,2149.941109110789,2846.412402461369
2025-07-31,2058.0,2136.01075,2152.9068513910374,2831.4645081595427
2025-08-03,2049.0,2139.0475,2152.333759827882,2857.8204745088465
2025-08-04,2040.0,2144.8145,2153.957923075006,2843.6197251829776
2025-08-05,2042.0,2150.7695000000003,2155.4314463573,2858.0539381069207
2025-08-06,2036.0,2152.6945,2155.4314463573,2862.120237429651
2025-08-07,2031.0,2153.3795,2155.4314463573,2875.779319535265
2025-08-10,2006.0,2171.425,2159.5391668316315,2910.498687342938
2025-08-11,1999.0,2171.94,2162.053045866235,2895.5266160991378
2025-08-12,1999.0,2171.395,2162.581643043305,2921.8519028424985
2025-08-13,1997.0,2172.23,2161.490345760095,2907.6244619947533
2025-08-14,1994.0,2170.735,2161.490345760095,2922.0285732597054
2025-08-17,1991.0,2171.055,2159.974721631241,2926.067731965595
2025-08-18,1985.0,2169.95,2161.7352509757434,2939.698903260204
2025-08-19,1980.0,2169.71,2161.490345760095,2974.3901107144457
2025-08-20,1983.0,2170.315,2162.581643043305,2959.388487670401
2025-08-21,1972.0,2212.215,2161.2680892627595,2985.6859543332703
2025-08-24,1981.0,2170.655,2162.8122862228674,2971.4296596362474
2025-08-25,1980.0,2169.91,2161.7352509757434,2985.805833529447
2025-08-26,1989.0,2170.98,2169.574695444572,2989.816291817555
2025-08-27,1988.0,2170.56,2161.490345760095,3003.418983235939
2025-08-28,1984.0,2170.09,2161.490345760095,3038.0817940972684
2025-09-01,2010.0,2172.085,2169.3675048608925,3023.0521587540043
2025-09-02,2020.0,2170.575,2163.1216944311323,3049.321174100733
2025-09-03,2019.0,2171.23,2163.76447141856,3035.0367180762037
2025-09-04,2015.0,2170.35,2161.2680892627595,3049.3845065149862
2025-09-07,2026.0,2170.995,2164.340656706149,3053.3667979546626
2025-09-08,2025.0,2169.905,2163.0308925433524,3066.9412818372502
2025-09-09,2023.0,2182.515,2161.810381140267,3101.575880649724
2025-09-10,2025.0,2203.985,2161.810381140267,3086.5179493862825
2025-09-11,2047.0,2196.9,2174.168597948212,3112.758801967
2025-09-14,2083.0,2173.85,2167.0161035856513,3098.446124147997
2025-09-15,2086.0,2204.11,2163.2411804907865,3112.765767282018
2025-09-16,2095.0,2173.525,2163.76447141856,3116.719873188739
2025-09-17,2096.0,2172.84,2160.9502943722678,3130.266199654344
2025-09-18,2096.0,2291.3,2161.810381140267,3164.8726596213587
2025-09-21,2134.0,2175.205,2165.786244352181,3149.7866289952312
2025-09-22,2141.0,2174.075,2162.3906706983103,3175.999364477174
2025-09-23,2145.0,2175.525,2168.0108963721614,3161.6586024763446
2025-09-24,2138.0,2178.705,2176.45005700605,3175.9501586128868
2025-09-25,2132.0,2175.115,2159.997058980191,3179.876205466166
2025-09-28,2146.0,2173.655,2162.847369926245,3193.3944827976034
2025-09-29,2148.0,2177.47,2181.1091704430764,3227.9729060572854
2025-09-30,2159.0,2175.188333333333,2183.802276831501,3212.8588456297584
2025-10-01,2163.0,2185.088333333333,2192.7421211661726,3239.0435732913197
2025-10-02,2164.0,2306.28,2192.637624577955,3224.6748120899615
2025-10-05,2180.0,2187.22,2192.432712957908,3238.9383870568986
2025-10-06,2187.0,2197.115,2206.266689533226,3242.8364626544517
2025-10-07,2189.0,2223.47,2202.6800874230557,3256.326783387134
2025-10-08,2192.0,2246.8205357142856,2204.5490148035333,3290.877264035577
2025-10-09,2192.0,2255.522202380953,2290.3134946526548,3275.7352764312677
2025-10-13,2223.0,2189.60875,2200.5954319822026,3301.8920883681144
2025-10-14,2235.0,2216.706964285714,2237.775841344572,3287.495426407842
2025-10-15,2225.0,2228.541,2235.6510738049387,3301.7311130923817
2025-10-16,2233.0,2215.1077023809526,2235.673529376148,3305.601315015385
2025-10-19,2237.0,2231.889166666667,2242.5539916448743,3319.0637754226223
2025-10-20,2243.0,2238.5502002164503,2240.8802181191586,3353.5864092627953
2025-10-21,2251.0,2262.8517954545455,2256.463708365249,3338.4165879775596
2025-10-22,2261.0,2289.8987835497837,2271.484987145902,3364.5455804022286
2025-10-23,2266.0,2309.3052067099566,2272.9145745177248,3350.1211121638735
2025-10-26,2276.0,2295.827432900433,2272.601223821318,3364.3290064522403
2025-10-27,2282.0,2294.8343874458874,2270.8829487967755,3368.1714292907513
2025-10-28,2286.0,2309.7830281385277,2289.4057071203792,3381.6061242486153
2025-10-29,2280.0,2307.4117498196256,2287.6522370395164,3416.101006221851
2025-10-30,2287.0,2308.279613636363,2288.9280550916883,3400.9034467465053
2025-11-02,2277.0,2310.9257325036074,2288.135605316542,3427.004714374996
2025-11-03,2269.0,2293.320619047619,2267.182913950939,3412.5525349724157
2025-11-04,2270.0,2294.4616888528135,2269.999938613484,3426.732731549377
2025-11-05,2272.0,2295.0311942640687,2269.1951843978886,3430.547470271266
2025-11-06,2264.0,2291.874295454545,2266.9380087352906,3443.9544946136753
2025-11-09,2294.0,2293.2126709956706,2268.5493880316412,3478.421719478164
2025-11-11,2294.0,2312.8780057720055,2295.160904750748,3463.1965163675513
